日期,时间,纬度方向,纬度,经度方向,经度,地面速度,海拔高度,卫星颗数,航向
2017年5月10日,9:39:40,N,40'48.054,E,111'41.538,26.9,1067m,9,338.2
2017年5月10日,9:39:41,N,40'48.058,E,111'41.535,31.1,1067m,8,337.5
2017年5月10日,9:39:42,N,40'48.063,E,111'41.533,32.2,1067m,9,338.0
2017年5月10日,9:39:44,N,40'48.072,E,111'41.529,28.5,1067m,9,339.2
2017年5月10日,9:39:45,N,40'48.076,E,111'41.527,29.8,1067m,9,341.1
2017年5月10日,9:39:46,N,40'48.081,E,111'41.526,31.7,1068m,9,343.0
2017年5月10日,9:39:46,N,40'48.081,E,111'41.526,31.7,1068m,9,343.0
2017年5月10日,9:39:48,N,40'48.092,E,111'41.523,36.9,1068m,8,345.9
2017年5月10日,9:39:48,N,40'48.092,E,111'41.523,36.9,1069m,8,345.9
2017年5月10日,9:39:50,N,40'48.103,E,111'41.519,37.4,1069m,8,346.0
2017年5月10日,9:39:50,N,40'48.103,E,111'41.519,37.4,1070m,9,346.0
2017年5月10日,9:39:51,N,40'48.108,E,111'41.516,37.8,1070m,9,345.7
2017年5月10日,9:39:52,N,40'48.113,E,111'41.513,39.4,1070m,9,345.4
2017年5月10日,9:39:53,N,40'48.119,E,111'41.510,39.6,1070m,9,344.6
2017年5月10日,9:39:55,N,40'48.131,E,111'41.505,40.2,1070m,9,342.0
2017年5月10日,9:39:55,N,40'48.131,E,111'41.505,40.2,1069m,9,342.0
2017年5月10日,9:39:56,N,40'48.137,E,111'41.502,41.9,1069m,9,341.1
2017年5月10日,9:39:57,N,40'48.142,E,111'41.499,40.0,1070m,10,340.5
2017年5月10日,9:39:58,N,40'48.148,E,111'41.496,37.0,1070m,10,340.5
2017年5月10日,9:39:59,N,40'48.153,E,111'41.494,35.2,1070m,10,341.6
2017年5月10日,9:40:0,N,40'48.158,E,111'41.492,34.6,1070m,10,343.0
2017年5月10日,9:40:2,N,40'48.168,E,111'41.488,34.4,1070m,10,343.7
2017年5月10日,9:40:2,N,40'48.168,E,111'41.488,34.4,1069m,10,343.7
2017年5月10日,9:40:4,N,40'48.178,E,111'41.483,35.0,1069m,10,341.3
2017年5月10日,9:40:4,N,40'48.178,E,111'41.483,35.0,1070m,10,341.3
2017年5月10日,9:40:5,N,40'48.183,E,111'41.481,35.0,1069m,10,340.1
2017年5月10日,9:40:6,N,40'48.189,E,111'41.478,33.9,1069m,10,340.0
2017年5月10日,9:40:7,N,40'48.193,E,111'41.476,33.9,1069m,10,340.2
2017年5月10日,9:40:8,N,40'48.198,E,111'41.473,33.2,1069m,10,340.5
2017年5月10日,9:40:9,N,40'48.203,E,111'41.471,33.2,1070m,10,341.2
2017年5月10日,9:40:10,N,40'48.207,E,111'41.469,32.8,1070m,10,341.3
2017年5月10日,9:40:11,N,40'48.212,E,111'41.466,32.2,1070m,10,341.1
2017年5月10日,9:40:12,N,40'48.216,E,111'41.464,31.1,1070m,10,341.3
2017年5月10日,9:40:13,N,40'48.221,E,111'41.462,31.1,1070m,10,342.1
2017年5月10日,9:40:14,N,40'48.225,E,111'41.460,31.9,1070m,10,342.3
2017年5月10日,9:40:16,N,40'48.235,E,111'41.455,36.9,1071m,10,340.2
2017年5月10日,9:40:16,N,40'48.235,E,111'41.455,36.9,1070m,10,340.2
2017年5月10日,9:40:17,N,40'48.240,E,111'41.452,37.2,1071m,10,339.4
2017年5月10日,9:40:19,N,40'48.250,E,111'41.447,33.9,1071m,10,339.5
2017年5月10日,9:40:19,N,40'48.250,E,111'41.447,33.9,1071m,10,339.5
2017年5月10日,9:40:20,N,40'48.255,E,111'41.445,30.4,1071m,10,340.6
2017年5月10日,9:40:22,N,40'48.262,E,111'41.441,24.4,1071m,10,340.4
2017年5月10日,9:40:22,N,40'48.262,E,111'41.441,24.4,1071m,10,340.4
2017年5月10日,9:40:23,N,40'48.265,E,111'41.439,20.6,1071m,10,339.8
2017年5月10日,9:40:24,N,40'48.268,E,111'41.438,16.7,1071m,10,339.6
2017年5月10日,9:40:25,N,40'48.270,E,111'41.438,10.4,1071m,10,340.3
2017年5月10日,9:40:26,N,40'48.272,E,111'41.438,5.4,1070m,10,340.6
2017年5月10日,9:40:28,N,40'48.273,E,111'41.438,0.2,1070m,10,340.9
2017年5月10日,9:40:29,N,40'48.273,E,111'41.438,0.2,1070m,10,340.9
2017年5月10日,9:40:29,N,40'48.273,E,111'41.438,0.2,1070m,10,340.9
2017年5月10日,9:40:30,N,40'48.273,E,111'41.438,0.0,1070m,10,340.9
2017年5月10日,9:40:31,N,40'48.273,E,111'41.437,0.0,1070m,10,340.9
2017年5月10日,9:40:32,N,40'48.273,E,111'41.437,0.0,1070m,10,340.9
2017年5月10日,9:40:34,N,40'48.273,E,111'41.437,0.0,1070m,10,340.9
2017年5月10日,9:40:34,N,40'48.273,E,111'41.437,0.0,1070m,10,340.9
2017年5月10日,9:40:35,N,40'48.273,E,111'41.437,0.0,1070m,10,340.9
2017年5月10日,9:40:36,N,40'48.273,E,111'41.437,0.0,1070m,10,340.9
2017年5月10日,9:40:37,N,40'48.273,E,111'41.436,0.0,1070m,10,340.9
2017年5月10日,9:40:38,N,40'48.273,E,111'41.436,0.0,1070m,10,340.9
2017年5月10日,9:40:39,N,40'48.273,E,111'41.436,0.0,1070m,10,340.9
2017年5月10日,9:40:40,N,40'48.273,E,111'41.436,0.0,1070m,10,340.9
2017年5月10日,9:40:41,N,40'48.273,E,111'41.436,4.8,1070m,10,340.9
2017年5月10日,9:40:42,N,40'48.273,E,111'41.435,7.0,1070m,10,239.1
2017年5月10日,9:40:43,N,40'48.272,E,111'41.434,8.5,1069m,10,203.6
2017年5月10日,9:40:44,N,40'48.270,E,111'41.433,10.2,1069m,10,178.3
2017年5月10日,9:40:45,N,40'48.268,E,111'41.434,15.7,1068m,10,156.6
2017年5月10日,9:40:46,N,40'48.266,E,111'41.436,17.8,1068m,10,153.1
2017年5月10日,9:40:47,N,40'48.263,E,111'41.437,19.4,1067m,10,155.3
2017年5月10日,9:40:48,N,40'48.260,E,111'41.439,21.1,1066m,10,156.6
2017年5月10日,9:40:49,N,40'48.257,E,111'41.440,22.4,1065m,10,158.3
2017年5月10日,9:40:50,N,40'48.254,E,111'41.442,24.1,1065m,9,160.0
2017年5月10日,9:40:51,N,40'48.250,E,111'41.444,24.8,1064m,9,160.3
2017年5月10日,9:40:52,N,40'48.247,E,111'41.445,25.4,1064m,9,161.5
2017年5月10日,9:40:53,N,40'48.243,E,111'41.447,25.9,1063m,10,162.6
2017年5月10日,9:40:54,N,40'48.240,E,111'41.448,26.3,1062m,9,163.2
2017年5月10日,9:40:55,N,40'48.236,E,111'41.450,26.3,1062m,9,163.4
2017年5月10日,9:40:56,N,40'48.232,E,111'41.451,24.8,1061m,9,163.6
2017年5月10日,9:40:57,N,40'48.229,E,111'41.452,23.0,1060m,10,164.2
2017年5月10日,9:40:58,N,40'48.226,E,111'41.453,20.9,1060m,10,164.5
2017年5月10日,9:40:59,N,40'48.223,E,111'41.454,16.3,1059m,10,165.1
2017年5月10日,9:41:0,N,40'48.220,E,111'41.454,11.9,1058m,10,166.8
2017年5月10日,9:41:1,N,40'48.219,E,111'41.454,8.3,1058m,10,175.7
2017年5月10日,9:41:2,N,40'48.218,E,111'41.454,6.7,1058m,10,186.3
2017年5月10日,9:41:3,N,40'48.217,E,111'41.454,5.7,1057m,10,201.9
2017年5月10日,9:41:4,N,40'48.216,E,111'41.453,6.3,1057m,10,220.2
2017年5月10日,9:41:5,N,40'48.215,E,111'41.452,5.6,1056m,10,219.9
2017年5月10日,9:41:6,N,40'48.214,E,111'41.451,6.5,1056m,10,221.4
2017年5月10日,9:41:7,N,40'48.214,E,111'41.450,7.6,1055m,10,224.2
2017年5月10日,9:41:8,N,40'48.213,E,111'41.449,8.1,1055m,10,226.4
2017年5月10日,9:41:9,N,40'48.213,E,111'41.447,8.5,1055m,10,228.9
2017年5月10日,9:41:10,N,40'48.212,E,111'41.445,8.0,1054m,10,256.4
2017年5月10日,9:41:11,N,40'48.212,E,111'41.444,7.8,1054m,10,255.0
2017年5月10日,9:41:12,N,40'48.211,E,111'41.442,5.6,1054m,10,254.4
2017年5月10日,9:41:13,N,40'48.211,E,111'41.442,0.2,1053m,10,254.4
2017年5月10日,9:41:15,N,40'48.211,E,111'41.441,0.0,1054m,10,254.4
2017年5月10日,9:41:15,N,40'48.211,E,111'41.441,0.0,1054m,10,254.4
2017年5月10日,9:41:16,N,40'48.211,E,111'41.441,0.0,1054m,10,254.3
2017年5月10日,9:41:17,N,40'48.211,E,111'41.441,0.0,1054m,10,254.4
2017年5月10日,9:41:18,N,40'48.211,E,111'41.441,0.0,1054m,10,254.4
2017年5月10日,9:41:19,N,40'48.211,E,111'41.441,0.2,1054m,10,254.4
2017年5月10日,9:41:20,N,40'48.210,E,111'41.440,0.6,1054m,10,254.4
2017年5月10日,9:41:21,N,40'48.211,E,111'41.438,14.8,1054m,10,281.9
2017年5月10日,9:41:23,N,40'48.212,E,111'41.430,19.6,1053m,10,281.8
2017年5月10日,9:41:24,N,40'48.212,E,111'41.425,19.1,1053m,9,271.1
2017年5月10日,9:41:24,N,40'48.212,E,111'41.425,19.1,1053m,10,271.1
2017年5月10日,9:41:25,N,40'48.212,E,111'41.421,19.1,1053m,10,256.0
2017年5月10日,9:41:26,N,40'48.211,E,111'41.417,18.0,1053m,10,243.6
2017年5月10日,9:41:27,N,40'48.210,E,111'41.414,16.5,1052m,10,232.4
2017年5月10日,9:41:28,N,40'48.208,E,111'41.412,13.9,1052m,10,222.3
2017年5月10日,9:41:29,N,40'48.207,E,111'41.410,12.4,1052m,10,210.5
2017年5月10日,9:41:30,N,40'48.205,E,111'41.409,11.7,1053m,10,196.5
2017年5月10日,9:41:31,N,40'48.203,E,111'41.408,10.4,1053m,10,176.7
2017年5月10日,9:41:32,N,40'48.201,E,111'41.409,11.5,1052m,10,170.5
2017年5月10日,9:41:33,N,40'48.199,E,111'41.409,14.4,1052m,10,168.3
2017年5月10日,9:41:34,N,40'48.197,E,111'41.410,16.9,1052m,10,168.0
2017年5月10日,9:41:35,N,40'48.195,E,111'41.411,19.4,1051m,10,167.2
2017年5月10日,9:41:36,N,40'48.192,E,111'41.412,20.0,1051m,10,164.9
2017年5月10日,9:41:37,N,40'48.189,E,111'41.413,19.6,1051m,10,162.1
2017年5月10日,9:41:38,N,40'48.186,E,111'41.414,19.4,1051m,10,163.2
2017年5月10日,9:41:40,N,40'48.180,E,111'41.417,21.9,1051m,10,161.8
2017年5月10日,9:41:40,N,40'48.180,E,111'41.417,21.9,1050m,10,161.8
2017年5月10日,9:41:41,N,40'48.177,E,111'41.418,22.2,1050m,10,160.1
2017年5月10日,9:41:42,N,40'48.173,E,111'41.420,23.3,1049m,10,158.8
2017年5月10日,9:41:44,N,40'48.166,E,111'41.423,24.3,1049m,10,158.5
2017年5月10日,9:41:44,N,40'48.166,E,111'41.423,24.3,1049m,10,158.5
2017年5月10日,9:41:45,N,40'48.163,E,111'41.425,24.3,1048m,10,158.6
2017年5月10日,9:41:47,N,40'48.156,E,111'41.427,22.8,1048m,10,166.9
2017年5月10日,9:41:48,N,40'48.152,E,111'41.429,24.4,1047m,10,163.4
2017年5月10日,9:41:48,N,40'48.152,E,111'41.429,24.4,1047m,10,163.4
2017年5月10日,9:41:49,N,40'48.149,E,111'41.430,24.8,1046m,10,162.8
2017年5月10日,9:41:50,N,40'48.145,E,111'41.432,24.8,1046m,10,162.1
2017年5月10日,9:41:51,N,40'48.142,E,111'41.433,26.3,1046m,10,160.9
2017年5月10日,9:41:52,N,40'48.138,E,111'41.435,26.9,1046m,10,160.1
2017年5月10日,9:41:53,N,40'48.134,E,111'41.437,25.0,1045m,10,160.2
2017年5月10日,9:41:54,N,40'48.130,E,111'41.438,24.1,1045m,10,167.0
2017年5月10日,9:41:55,N,40'48.126,E,111'41.440,22.4,1045m,10,166.2
2017年5月10日,9:41:56,N,40'48.123,E,111'41.442,23.0,1045m,10,164.3
2017年5月10日,9:41:57,N,40'48.120,E,111'41.443,22.6,1044m,10,164.9
2017年5月10日,9:41:58,N,40'48.117,E,111'41.444,21.1,1044m,10,163.9
2017年5月10日,9:41:59,N,40'48.114,E,111'41.446,21.1,1044m,10,162.8
2017年5月10日,9:42:0,N,40'48.111,E,111'41.447,21.1,1043m,10,162.7
2017年5月10日,9:42:1,N,40'48.108,E,111'41.448,21.1,1043m,10,162.0
2017年5月10日,9:42:2,N,40'48.105,E,111'41.450,21.9,1043m,10,161.3
2017年5月10日,9:42:3,N,40'48.102,E,111'41.451,21.9,1042m,9,160.7
2017年5月10日,9:42:4,N,40'48.098,E,111'41.452,20.9,1042m,10,161.0
2017年5月10日,9:42:5,N,40'48.096,E,111'41.453,18.9,1042m,10,171.4
2017年5月10日,9:42:6,N,40'48.093,E,111'41.453,17.4,1042m,10,187.2
2017年5月10日,9:42:7,N,40'48.091,E,111'41.452,16.7,1041m,10,199.6
2017年5月10日,9:42:8,N,40'48.088,E,111'41.451,15.9,1041m,10,215.7
2017年5月10日,9:42:9,N,40'48.087,E,111'41.449,14.4,1041m,10,229.1
2017年5月10日,9:42:10,N,40'48.086,E,111'41.446,16.5,1041m,10,243.3
2017年5月10日,9:42:11,N,40'48.085,E,111'41.443,17.6,1042m,10,245.2
2017年5月10日,9:42:13,N,40'48.083,E,111'41.436,15.2,1042m,10,253.7
2017年5月10日,9:42:14,N,40'48.082,E,111'41.433,15.0,1042m,10,252.7
2017年5月10日,9:42:14,N,40'48.082,E,111'41.433,15.0,1041m,10,252.7
2017年5月10日,9:42:15,N,40'48.081,E,111'41.431,14.3,1041m,10,252.0
2017年5月10日,9:42:16,N,40'48.081,E,111'41.428,14.1,1041m,10,248.9
2017年5月10日,9:42:18,N,40'48.079,E,111'41.423,13.3,1041m,10,250.0
2017年5月10日,9:42:18,N,40'48.079,E,111'41.423,13.3,1041m,10,250.0
2017年5月10日,9:42:20,N,40'48.078,E,111'41.419,10.9,1041m,10,251.7
2017年5月10日,9:42:20,N,40'48.078,E,111'41.419,10.9,1042m,10,251.7
2017年5月10日,9:42:21,N,40'48.077,E,111'41.417,7.2,1042m,10,251.9
2017年5月10日,9:42:23,N,40'48.076,E,111'41.414,7.4,1042m,10,258.6
2017年5月10日,9:42:23,N,40'48.076,E,111'41.414,7.4,1042m,10,258.6
2017年5月10日,9:42:24,N,40'48.076,E,111'41.413,6.9,1042m,10,256.9
2017年5月10日,9:42:26,N,40'48.075,E,111'41.411,5.7,1042m,10,253.5
2017年5月10日,9:42:26,N,40'48.075,E,111'41.411,5.7,1043m,10,253.5
2017年5月10日,9:42:28,N,40'48.075,E,111'41.408,7.2,1043m,10,249.8
2017年5月10日,9:42:28,N,40'48.075,E,111'41.408,7.2,1044m,10,249.8
2017年5月10日,9:42:30,N,40'48.074,E,111'41.404,7.2,1044m,10,250.6
2017年5月10日,9:42:31,N,40'48.074,E,111'41.402,6.1,1044m,10,252.0
2017年5月10日,9:42:32,N,40'48.075,E,111'41.401,6.1,1045m,10,255.6
2017年5月10日,9:42:32,N,40'48.075,E,111'41.401,6.1,1045m,10,255.6
2017年5月10日,9:42:33,N,40'48.076,E,111'41.400,8.0,1046m,10,260.9
2017年5月10日,9:42:35,N,40'48.078,E,111'41.400,5.0,1046m,10,354.6
2017年5月10日,9:42:35,N,40'48.078,E,111'41.400,5.0,1047m,10,354.6
2017年5月10日,9:42:37,N,40'48.079,E,111'41.401,5.0,1047m,10,354.6
2017年5月10日,9:42:37,N,40'48.079,E,111'41.401,5.0,1047m,10,354.6
2017年5月10日,9:42:39,N,40'48.080,E,111'41.402,4.6,1048m,10,354.6
2017年5月10日,9:42:39,N,40'48.080,E,111'41.402,4.6,1048m,10,354.6
2017年5月10日,9:42:40,N,40'48.080,E,111'41.403,3.1,1048m,10,354.6
2017年5月10日,9:42:41,N,40'48.080,E,111'41.403,3.1,1049m,10,354.6
2017年5月10日,9:42:42,N,40'48.080,E,111'41.404,3.0,1049m,10,354.6
2017年5月10日,9:42:44,N,40'48.080,E,111'41.405,2.6,1049m,10,354.6
2017年5月10日,9:42:44,N,40'48.080,E,111'41.405,2.6,1049m,10,354.6
2017年5月10日,9:42:45,N,40'48.081,E,111'41.405,2.8,1049m,10,354.6
2017年5月10日,9:42:47,N,40'48.081,E,111'41.407,2.2,1049m,10,354.6
2017年5月10日,9:42:47,N,40'48.081,E,111'41.407,2.2,1049m,10,354.6
2017年5月10日,9:42:49,N,40'48.081,E,111'41.407,0.7,1050m,10,354.6
2017年5月10日,9:42:50,N,40'48.081,E,111'41.407,0.0,1050m,10,354.6
2017年5月10日,9:42:50,N,40'48.081,E,111'41.407,0.0,1050m,10,354.6
2017年5月10日,9:42:52,N,40'48.081,E,111'41.408,0.0,1050m,10,354.6
2017年5月10日,9:42:53,N,40'48.081,E,111'41.408,0.0,1050m,10,354.6
2017年5月10日,9:42:53,N,40'48.081,E,111'41.408,0.0,1050m,10,354.6
2017年5月10日,9:42:55,N,40'48.081,E,111'41.408,0.0,1050m,10,354.6
2017年5月10日,9:42:56,N,40'48.081,E,111'41.408,0.0,1050m,10,354.6
2017年5月10日,9:42:56,N,40'48.081,E,111'41.408,0.0,1050m,10,354.6
2017年5月10日,9:42:58,N,40'48.081,E,111'41.408,0.0,1050m,10,354.6
2017年5月10日,9:42:58,N,40'48.081,E,111'41.408,0.0,1050m,10,354.6
2017年5月10日,9:43:0,N,40'48.081,E,111'41.408,0.0,1050m,9,354.6
2017年5月10日,9:43:0,N,40'48.081,E,111'41.408,0.0,1050m,9,354.6
2017年5月10日,9:43:2,N,40'48.081,E,111'41.408,0.0,1050m,9,354.6
2017年5月10日,9:43:3,N,40'48.081,E,111'41.408,0.0,1050m,9,354.6
2017年5月10日,9:43:3,N,40'48.081,E,111'41.408,0.0,1050m,9,354.6
2017年5月10日,9:43:5,N,40'48.081,E,111'41.408,0.0,1050m,9,354.6
2017年5月10日,9:43:5,N,40'48.081,E,111'41.408,0.0,1050m,9,354.6
2017年5月10日,9:43:6,N,40'48.081,E,111'41.408,0.0,1050m,9,354.6
2017年5月10日,9:43:7,N,40'48.081,E,111'41.408,0.0,1050m,9,354.6
2017年5月10日,9:43:9,N,40'48.081,E,111'41.408,0.0,1050m,9,354.6
2017年5月10日,9:43:10,N,40'48.081,E,111'41.408,0.0,1050m,9,354.6
2017年5月10日,9:43:10,N,40'48.081,E,111'41.408,0.0,1050m,9,354.6
